,raw_text,stemming_remove_stopwords,stemming,lemmatizing_remove_stopwords,lemmatizing,label
301,Good colleagues who work as a team,good colleagu work team,good colleagu who work as a team,good colleague work team,good colleague who work a a team,POSITIVE
302,Great job security.,great job secur,great job secur,great job security,great job security,POSITIVE
303,No flexible working for me at least!,flexibl work least,No flexibl work for me at least,flexible work least,no flexible work for me at least,NEGATIVE
304,very good place to work,good place work,veri good place to work,good place work,very good place to work,POSITIVE
305,Lots of new technology and software Long working hours stressful environment,lot new technolog softwar long work hour stress environ,lot of new technolog and softwar long work hour stress environ,lot new technology software long work hour stressful environment,lot of new technology and software long work hour stressful environment,NEUTRAL
306,Good company to work with,good compani work,good compani to work with,good company work,good company to work with,POSITIVE
307,Full Banking and Investment offering on island,full bank invest offer island,full bank and invest offer on island,full bank investment offer island,full bank and investment offer on island,POSITIVE
308,nice company to work with long working hours and minimal salalry,nice compani work long work hour minim salalri,nice compani to work with long work hour and minim salalri,nice company work long work hour minimal salalry,nice company to work with long work hour and minimal salalry,NEUTRAL
309,"Development\, interest in develop colleagues and positive attitude towards future.",develop interest develop colleagu posit attitud toward futur,develop interest in develop colleagu and posit attitud toward futur,development interest develop colleague positive attitude towards future,development interest in develop colleague and positive attitude towards future,POSITIVE
310,Company car with other benefits To long hours on the road,compani car benefit long hour road,compani car with other benefit To long hour on the road,company car benefit long hour road,company car with other benefit to long hour on the road,NEUTRAL
311,Decent benefits for staff across locations work life balance can be challenging,decent benefit staff across locat work life balanc challeng,decent benefit for staff across locat work life balanc can be challeng,decent benefit staff across location work life balance challenge,decent benefit for staff across location work life balance can be challenge,NEUTRAL
312,It is a good company for doing nothin,good compani nothin,It is a good compani for do nothin,good company nothin,it be a good company for do nothin,POSITIVE
313,Good progression and pay benefits Only those who can’t sell get decelopment,good progress pay benefit ca nt sell get decelop,good progress and pay benefit onli those who ca nt sell get decelop,good progression pay benefit ca nt sell get decelopment,good progression and pay benefit only those who ca nt sell get decelopment,NEUTRAL
314,Barclays has best customer services,barclay best custom servic,barclay ha best custom servic,barclays best customer service,barclays ha best customer service,POSITIVE
315,Very good work environment and professional,good work environ profession,veri good work environ and profession,good work environment professional,very good work environment and professional,POSITIVE
316,Career Progression,career progress,career progress,career progression,career progression,POSITIVE
317,Secure Company,secur compani,secur compani,secure company,secure company,POSITIVE
318,Work-life balance,worklif balanc,worklif balanc,worklife balance,worklife balance,POSITIVE
319,compensation as per Industry standards too much politics and lower regard to talent,compens per industri standard much polit lower regard talent,compens as per industri standard too much polit and lower regard to talent,compensation per industry standard much politics lower regard talent,compensation a per industry standard too much politics and lower regard to talent,NEUTRAL
320,"slow decision time\, overtime\, pushy strategy",slow decis time overtim pushi strategi,slow decis time overtim pushi strategi,slow decision time overtime pushy strategy,slow decision time overtime pushy strategy,NEGATIVE
321,"good pay\, overtime available\, family community\, advancement ops",good pay overtim avail famili commun advanc op,good pay overtim avail famili commun advanc op,good pay overtime available family community advancement ops,good pay overtime available family community advancement ops,POSITIVE
322,Good working environment and people.,good work environ peopl,good work environ and peopl,good work environment people,good work environment and people,POSITIVE
323,Good work-life balance and dynamic working. Bureaucratic and teams working in silos.,good worklif balanc dynam work bureaucrat team work silo,good worklif balanc and dynam work bureaucrat and team work in silo,good worklife balance dynamic work bureaucratic team work silo,good worklife balance and dynamic work bureaucratic and team work in silo,NEUTRAL
324,great people and work place,great peopl work place,great peopl and work place,great people work place,great people and work place,POSITIVE
325,"work/life balance\, location\, and inclusive culture",worklif balanc locat inclus cultur,worklif balanc locat and inclus cultur,worklife balance location inclusive culture,worklife balance location and inclusive culture,POSITIVE
326,Good team to work with.,good team work,good team to work with,good team work,good team to work with,POSITIVE
327,"Good place to work\, numerous events and benefits",good place work numer event benefit,good place to work numer event and benefit,good place work numerous event benefit,good place to work numerous event and benefit,POSITIVE
328,Insincere management,insincer manag,insincer manag,insincere management,insincere management,NEGATIVE
329,Compensation Benefits are good -,compens benefit good,compens benefit are good,compensation benefit good,compensation benefit be good,POSITIVE
330,No growth in my career.,growth career,No growth in my career,growth career,no growth in my career,NEGATIVE
331,"Excellent eco sytem\, great work culture",excel eco sytem great work cultur,excel eco sytem great work cultur,excellent eco sytem great work culture,excellent eco sytem great work culture,POSITIVE
332,"Your average working place\, with a respected name\, at least in UK Too British for my taste.",averag work place respect name least uk british tast,your averag work place with a respect name at least in UK too british for my tast,average work place respect name least uk british taste,your average work place with a respect name at least in uk too british for my taste,NEUTRAL
333,Good job is there whom,good job,good job is there whom,good job,good job be there whom,POSITIVE
334,Excellent training,excel train,excel train,excellent train,excellent train,POSITIVE
335,Great company Great people lovely to work!,great compani great peopl love work,great compani great peopl love to work,great company great people lovely work,great company great people lovely to work,POSITIVE
336,"Good culture\, lots of opportunities\, nice people",good cultur lot opportun nice peopl,good cultur lot of opportun nice peopl,good culture lot opportunity nice people,good culture lot of opportunity nice people,POSITIVE
337,Good opportunities for career growth,good opportun career growth,good opportun for career growth,good opportunity career growth,good opportunity for career growth,POSITIVE
338,good management structure nice nice,good manag structur nice nice,good manag structur nice nice,good management structure nice nice,good management structure nice nice,POSITIVE
339,"flexible working\, great people\, good atmosphere",flexibl work great peopl good atmospher,flexibl work great peopl good atmospher,flexible work great people good atmosphere,flexible work great people good atmosphere,POSITIVE
340,"Neat culture\, good job opportunities mismanagement and abuse of authority.",neat cultur good job opportun mismanag abus author,neat cultur good job opportun mismanag and abus of author,neat culture good job opportunity mismanagement abuse authority,neat culture good job opportunity mismanagement and abuse of authority,NEUTRAL
341,I would like to work with Barclays. Its my dream company.,like work barclay dream compani,I would like to work with barclay it my dream compani,like work barclays dream company,i would like to work with barclays it my dream company,POSITIVE
342,1. Work-life balance,worklif balanc,worklif balanc,worklife balance,worklife balance,POSITIVE
343,"Good people good location\, good benefits Too much face fitting\, technologies",good peopl good locat good benefit much face fit technolog,good peopl good locat good benefit too much face fit technolog,good people good location good benefit much face fit technology,good people good location good benefit too much face fit technology,NEUTRAL
344,"Good place to work\, meritocratic",good place work meritocrat,good place to work meritocrat,good place work meritocratic,good place to work meritocratic,POSITIVE
345,Good opportunities for training career progression.,good opportun train career progress,good opportun for train career progress,good opportunity train career progression,good opportunity for train career progression,POSITIVE
346,Good training and development. Strong culture,good train develop strong cultur,good train and develop strong cultur,good train development strong culture,good train and development strong culture,POSITIVE
347,Friendly colleagues,friendli colleagu,friendli colleagu,friendly colleague,friendly colleague,POSITIVE
348,opportunity to try things out,opportun tri thing,opportun to tri thing out,opportunity try thing,opportunity to try thing out,POSITIVE
349,Better career opportunities while working at a banking firm No onsite or promotion any sooner,better career opportun work bank firm onsit promot sooner,better career opportun while work at a bank firm No onsit or promot ani sooner,better career opportunity work bank firm onsite promotion sooner,better career opportunity while work at a bank firm no onsite or promotion any sooner,NEUTRAL
350,"Additional benefits\, fair pay\, friendly staff Work environment\, lots of processes",addit benefit fair pay friendli staff work environ lot process,addit benefit fair pay friendli staff work environ lot of process,additional benefit fair pay friendly staff work environment lot process,additional benefit fair pay friendly staff work environment lot of process,NEUTRAL
351,Professional set up and smooth functioning.,profession set smooth function,profession set up and smooth function,professional set smooth function,professional set up and smooth function,POSITIVE
352,"Good work life balance\, good salary",good work life balanc good salari,good work life balanc good salari,good work life balance good salary,good work life balance good salary,POSITIVE
353,Excellent disciplinary and grievance procedure,excel disciplinari grievanc procedur,excel disciplinari and grievanc procedur,excellent disciplinary grievance procedure,excellent disciplinary and grievance procedure,POSITIVE
354,"Accounting Entry \, System Work & MIS Reporting\, Preparing GST Return",account entri system work mi report prepar gst,account entri system work mi report prepar gst return,account entry system work mi report prepare gst,account entry system work mi report prepare gst return,NEUTRAL
355,God place for Learning and development Bureaucracy in taking decision,god place learn develop bureaucraci take decis,god place for learn and develop bureaucraci in take decis,god place learn development bureaucracy take decision,god place for learn and development bureaucracy in take decision,NEUTRAL
356,Good work timings Bad Sr. Management,good work time bad sr manag,good work time bad Sr manag,good work time bad sr management,good work time bad sr management,NEUTRAL
357,Plenty of opportunity to develop a career,plenti opportun develop career,plenti of opportun to develop a career,plenty opportunity develop career,plenty of opportunity to develop a career,POSITIVE
358,Employer friendly and work life balance Limited growth opportunities and mobility,employ friendli work life balanc limit growth opportun mobil,employ friendli and work life balanc limit growth opportun and mobil,employer friendly work life balance limit growth opportunity mobility,employer friendly and work life balance limit growth opportunity and mobility,NEUTRAL
359,Very good work life balance and good salary structure,good work life balanc good salari structur,veri good work life balanc and good salari structur,good work life balance good salary structure,very good work life balance and good salary structure,POSITIVE
360,Friendly environment and also many benefits for the members of the staff,friendli environ also mani benefit member staff,friendli environ and also mani benefit for the member of the staff,friendly environment also many benefit member staff,friendly environment and also many benefit for the member of the staff,POSITIVE
361,Benefits good salary good structure,benefit good salari good structur,benefit good salari good structur,benefit good salary good structure,benefit good salary good structure,POSITIVE
362,The people and management are friendly and supportive,peopl manag friendli support,the peopl and manag are friendli and support,people management friendly supportive,the people and management be friendly and supportive,POSITIVE
363,Work- life balance is excellent,work life balanc excel,work life balanc is excel,work life balance excellent,work life balance be excellent,POSITIVE
364,Really great people business - Great people,realli great peopl busi great peopl,realli great peopl busi great peopl,really great people business great people,really great people business great people,POSITIVE
365,"Good work life balance\, nice work",good work life balanc nice work,good work life balanc nice work,good work life balance nice work,good work life balance nice work,POSITIVE
366,Learnt lots of new skills. Management not keen on supporting you with career development.,learnt lot new skill manag keen support career develop,learnt lot of new skill manag not keen on support you with career develop,learn lot new skill management keen support career development,learn lot of new skill management not keen on support you with career development,NEUTRAL
367,Great team ethic,great team ethic,great team ethic,great team ethic,great team ethic,POSITIVE
368,great experience for damn freshers,great experi damn fresher,great experi for damn fresher,great experience damn fresher,great experience for damn fresher,POSITIVE
369,Cab facility and good salary They don't relocate you. Arrogant management,cab facil good salari nt reloc arrog manag,cab facil and good salari they do nt reloc you arrog manag,cab facility good salary nt relocate arrogant management,cab facility and good salary they do nt relocate you arrogant management,NEUTRAL
370,Work life balance.,work life balanc,work life balanc,work life balance,work life balance,POSITIVE
371,Good work-life balance & Salary.,good worklif balanc salari,good worklif balanc salari,good worklife balance salary,good worklife balance salary,POSITIVE
372,Growth trajectory very slow,growth trajectori slow,growth trajectori veri slow,growth trajectory slow,growth trajectory very slow,NEGATIVE
373,"Diverse workforce\, strong management accountability",divers workforc strong manag account,divers workforc strong manag account,diverse workforce strong management accountability,diverse workforce strong management accountability,POSITIVE
374,Good place to work . Depending on projects,good place work depend project,good place to work depend on project,good place work depend project,good place to work depend on project,POSITIVE
375,"Good People\, ability to make decisions\, flexibility\, career progression. Awful IT services\, poor systems facilities.",good peopl abil make decis flexibl career progress aw servic poor system facil,good peopl abil to make decis flexibl career progress aw IT servic poor system facil,good people ability make decision flexibility career progression awful service poor system facility,good people ability to make decision flexibility career progression awful it service poor system facility,NEUTRAL
376,Good culture and supportive teams,good cultur support team,good cultur and support team,good culture supportive team,good culture and supportive team,POSITIVE
377,"Very management heavy\, which is stifling",manag heavi stifl,veri manag heavi which is stifl,management heavy stifle,very management heavy which be stifle,NEGATIVE
378,good salary very good opportunity,good salari good opportun,good salari veri good opportun,good salary good opportunity,good salary very good opportunity,POSITIVE
379,Great team; lots of young enthusiastic people,great team lot young enthusiast peopl,great team lot of young enthusiast peopl,great team lot young enthusiastic people,great team lot of young enthusiastic people,POSITIVE
380,Good benefit system and social Bad manager forcing me to leave,good benefit system social bad manag forc leav,good benefit system and social bad manag forc me to leav,good benefit system social bad manager force leave,good benefit system and social bad manager force me to leave,NEUTRAL
381,Flexible working .,flexibl work,flexibl work,flexible work,flexible work,POSITIVE
382,Variety of work and very employee friendly policies,varieti work employe friendli polici,varieti of work and veri employe friendli polici,variety work employee friendly policy,variety of work and very employee friendly policy,POSITIVE
383,Great place to learn; open to upskilling Office politics is sometimes awful,great place learn open upskil offic polit sometim aw,great place to learn open to upskil offic polit is sometim aw,great place learn open upskilling office politics sometimes awful,great place to learn open to upskilling office politics be sometimes awful,NEUTRAL
384,Good Work life balance Redundant work.,good work life balanc redund work,good work life balanc redund work,good work life balance redundant work,good work life balance redundant work,NEUTRAL
385,Good medical benefits and compensation,good medic benefit compens,good medic benefit and compens,good medical benefit compensation,good medical benefit and compensation,POSITIVE
386,Good Incentives and great place to work,good incent great place work,good incent and great place to work,good incentive great place work,good incentive and great place to work,POSITIVE
387,"Great deal flow\, lots of responsibility\, pay on par with other bulge bracket banks",great deal flow lot respons pay par bulg bracket bank,great deal flow lot of respons pay on par with other bulg bracket bank,great deal flow lot responsibility pay par bulge bracket bank,great deal flow lot of responsibility pay on par with other bulge bracket bank,POSITIVE
388,"Agile values have been embraced\, meaning consistent project deliveries",agil valu embrac mean consist project deliveri,agil valu have been embrac mean consist project deliveri,agile value embrace mean consistent project delivery,agile value have be embrace mean consistent project delivery,POSITIVE
389,"Great work culture\, excellent at diversity and inclusion\, great work life balance",great work cultur excel divers inclus great work life balanc,great work cultur excel at divers and inclus great work life balanc,great work culture excellent diversity inclusion great work life balance,great work culture excellent at diversity and inclusion great work life balance,POSITIVE
390,A great investment bank in NYC. Cutting edge solutions,great invest bank nyc cut edg solut,A great invest bank in nyc cut edg solut,great investment bank nyc cut edge solution,a great investment bank in nyc cut edge solution,POSITIVE
391,The call volunenis extremely high. Management has bad attitude,call voluneni extrem high manag bad attitud,the call voluneni extrem high manag ha bad attitud,call volunenis extremely high management bad attitude,the call volunenis extremely high management ha bad attitude,NEGATIVE
392,employee friendly and good environment,employe friendli good environ,employe friendli and good environ,employee friendly good environment,employee friendly and good environment,POSITIVE
393,Decisions are made in the UK which is a challenge for US operations,decis made uk challeng us oper,decis are made in the UK which is a challeng for US oper,decision make uk challenge u operation,decision be make in the uk which be a challenge for u operation,NEGATIVE
394,"Entrepreneurial\, Good Culture\, Flat Organization",entrepreneuri good cultur flat organ,entrepreneuri good cultur flat organ,entrepreneurial good culture flat organization,entrepreneurial good culture flat organization,POSITIVE
395,"great culture\, casual fridays\, great location pay is bad and everyone is being moved to whippany",great cultur casual friday great locat pay bad everyon move whippani,great cultur casual friday great locat pay is bad and everyon is be move to whippani,great culture casual friday great location pay bad everyone move whippany,great culture casual friday great location pay be bad and everyone be be move to whippany,NEUTRAL
396,Competitive pay. Also very easy to move up in company.,competit pay also easi move compani,competit pay also veri easi to move up in compani,competitive pay also easy move company,competitive pay also very easy to move up in company,POSITIVE
397,Good work life balance Unstable Management and no clear direction,good work life balanc unstabl manag clear direct,good work life balanc unstabl manag and no clear direct,good work life balance unstable management clear direction,good work life balance unstable management and no clear direction,NEUTRAL
398,Rewarding but demanding occupation with plenty of enjoyment that makes all the difference. And for the most part a positive environment,reward demand occup plenti enjoy make differ part posit environ,reward but demand occup with plenti of enjoy that make all the differ and for the most part a posit environ,reward demand occupation plenty enjoyment make difference part positive environment,reward but demand occupation with plenty of enjoyment that make all the difference and for the most part a positive environment,POSITIVE
399,"Nice colleagues\, nice building\, interesting work.",nice colleagu nice build interest work,nice colleagu nice build interest work,nice colleague nice build interest work,nice colleague nice build interest work,POSITIVE
400,"Depends on team how work life balance is. They have good Maternity/paternity leave compared to other companies in industry. costly healthcare\, long hours depends on team though.",depend team work life balanc good maternitypatern leav compar compani industri costli healthcar long hour depend team though,depend on team how work life balanc is they have good maternitypatern leav compar to other compani in industri costli healthcar long hour depend on team though,depend team work life balance good maternitypaternity leave compare company industry costly healthcare long hour depend team though,depend on team how work life balance be they have good maternitypaternity leave compare to other company in industry costly healthcare long hour depend on team though,NEUTRAL
401,"Solid firm\, strong benefits\, and nice office too much bureaucracy\, hard to accomplish tasks and achieve goals",solid firm strong benefit nice offic much bureaucraci hard accomplish task achiev goal,solid firm strong benefit and nice offic too much bureaucraci hard to accomplish task and achiev goal,solid firm strong benefit nice office much bureaucracy hard accomplish task achieve goal,solid firm strong benefit and nice office too much bureaucracy hard to accomplish task and achieve goal,NEUTRAL
402,"Good pay\, great experience in terms of learning and getting prepared for other jobs in the industry",good pay great experi term learn get prepar job industri,good pay great experi in term of learn and get prepar for other job in the industri,good pay great experience term learn get prepare job industry,good pay great experience in term of learn and get prepare for other job in the industry,POSITIVE
403,Collegial and collaborative culture within banking. Many opportunities to get involved on projects outside of day to day job,collegi collabor cultur within bank mani opportun get involv project outsid day day job,collegi and collabor cultur within bank mani opportun to get involv on project outsid of day to day job,collegial collaborative culture within bank many opportunity get involve project outside day day job,collegial and collaborative culture within bank many opportunity to get involve on project outside of day to day job,POSITIVE
404,"Fun environment \, hires within",fun environ hire within,fun environ hire within,fun environment hire within,fun environment hire within,POSITIVE
405,"Monthly outings\, great team\, good team support and management",monthli outing great team good team support manag,monthli outing great team good team support and manag,monthly out great team good team support management,monthly out great team good team support and management,POSITIVE
406,Leadership is tech friendly. They have correct strategy to implement some cutting edge technology solutions.,leadership tech friendli correct strategi implement cut edg technolog solut,leadership is tech friendli they have correct strategi to implement some cut edg technolog solut,leadership tech friendly correct strategy implement cut edge technology solution,leadership be tech friendly they have correct strategy to implement some cut edge technology solution,POSITIVE
407,probably easier to get hired at than say Goldman pay is on the lower end of the scale industry wise,probabl easier get hire say goldman pay lower end scale industri wise,probabl easier to get hire at than say goldman pay is on the lower end of the scale industri wise,probably easier get hire say goldman pay lower end scale industry wise,probably easier to get hire at than say goldman pay be on the lower end of the scale industry wise,NEUTRAL
408,"substantive role\, nice employees\, staffing could be redistributed",substant role nice employe staf redistribut,substant role nice employe staf could be redistribut,substantive role nice employee staff redistribute,substantive role nice employee staff could be redistribute,POSITIVE
409,Great benefit. Very diverse and volunteering is strongly advised.,great benefit divers volunt strongli advis,great benefit veri divers and volunt is strongli advis,great benefit diverse volunteer strongly advise,great benefit very diverse and volunteer be strongly advise,POSITIVE
410,"Easy Going Environment\, People Are Nice",easi go environ peopl nice,easi go environ peopl are nice,easy go environment people nice,easy go environment people be nice,POSITIVE
411,Flexible hours. Quiet office. Good location. Big teams means easy work.,flexibl hour quiet offic good locat big team mean easi work,flexibl hour quiet offic good locat big team mean easi work,flexible hour quiet office good location big team mean easy work,flexible hour quiet office good location big team mean easy work,POSITIVE
412,flexible working hours; good team; Barclays looking to build tech campus to be like start-up environment Some managers' decisions are too politically driven; compensation for IT is not that great,flexibl work hour good team barclay look build tech campu like startup environ manag decis polit driven compens great,flexibl work hour good team barclay look to build tech campu to be like startup environ some manag decis are too polit driven compens for IT is not that great,flexible work hour good team barclays look build tech campus like startup environment manager decision politically drive compensation great,flexible work hour good team barclays look to build tech campus to be like startup environment some manager decision be too politically drive compensation for it be not that great,NEUTRAL
413,Great people. Great culture that there is no unnecessary competition among peers.,great peopl great cultur unnecessari competit among peer,great peopl great cultur that there is no unnecessari competit among peer,great people great culture unnecessary competition among peer,great people great culture that there be no unnecessary competition among peer,POSITIVE
414,Solid strategy with realistic goals.,solid strategi realist goal,solid strategi with realist goal,solid strategy realistic goal,solid strategy with realistic goal,POSITIVE
415,NYC Headquarters - good fitness center and corporate dining options,nyc headquart good fit center corpor dine option,nyc headquart good fit center and corpor dine option,nyc headquarter good fitness center corporate din option,nyc headquarter good fitness center and corporate din option,POSITIVE
416,"very large firm\, slow to make decisions/progress",larg firm slow make decisionsprogress,veri larg firm slow to make decisionsprogress,large firm slow make decisionsprogress,very large firm slow to make decisionsprogress,NEGATIVE
417,Great company but I am interested in a long term position. I do not see any growth for me here.,great compani interest long term posit see growth,great compani but I am interest in a long term posit I do not see ani growth for me here,great company interest long term position see growth,great company but i be interest in a long term position i do not see any growth for me here,NEUTRAL
418,Relatively good infrastructure and support Lower pay vs. rest of street,rel good infrastructur support lower pay vs rest street,rel good infrastructur and support lower pay vs rest of street,relatively good infrastructure support lower pay v rest street,relatively good infrastructure and support lower pay v rest of street,NEUTRAL
419,Great learning environment; diverse team; experience working with cross-functional groups,great learn environ divers team experi work crossfunct group,great learn environ divers team experi work with crossfunct group,great learn environment diverse team experience work crossfunctional group,great learn environment diverse team experience work with crossfunctional group,POSITIVE
420,"Good experience\, vacation time\, health care\, company has a great name Doesn't pay or train very well\, expects more work than humanly possible and gives no resources",good experi vacat time health care compani great name nt pay train well expect work humanli possibl give resourc,good experi vacat time health care compani ha a great name doe nt pay or train veri well expect more work than humanli possibl and give no resourc,good experience vacation time health care company great name nt pay train well expect work humanly possible give resource,good experience vacation time health care company ha a great name do nt pay or train very well expect more work than humanly possible and give no resource,NEUTRAL
421,High visibility role that manages all system release throughout the bank Highly stressful and does not have opportunities for upward mobility,high visibl role manag system releas throughout bank highli stress opportun upward mobil,high visibl role that manag all system releas throughout the bank highli stress and doe not have opportun for upward mobil,high visibility role manage system release throughout bank highly stressful opportunity upward mobility,high visibility role that manage all system release throughout the bank highly stressful and do not have opportunity for upward mobility,NEUTRAL
422,The benefits are really good.,benefit realli good,the benefit are realli good,benefit really good,the benefit be really good,POSITIVE
423,Large Headcount in Pune as a Product based company,larg headcount pune product base compani,larg headcount in pune as a product base compani,large headcount pune product base company,large headcount in pune a a product base company,POSITIVE
424,Global bank that puts technology at the forefront of their strategic initiatives Cards division lacks customer focus in their product offerings,global bank put technolog forefront strateg initi card divis lack custom focu product offer,global bank that put technolog at the forefront of their strateg initi card divis lack custom focu in their product offer,global bank put technology forefront strategic initiative card division lack customer focus product offer,global bank that put technology at the forefront of their strategic initiative card division lack customer focus in their product offer,NEUTRAL
425,"Learn a lot\, well paid\, and good for the resume",learn lot well paid good resum,learn a lot well paid and good for the resum,learn lot well pay good resume,learn a lot well pay and good for the resume,POSITIVE
426,Good desks across a number of products,good desk across number product,good desk across a number of product,good desk across number product,good desk across a number of product,POSITIVE
427,There are lots of smart people in the organization. Constant reorg under then-CEO Jenkins stirred up insecurities among mid-management and encouraged infights and backstabbing.,lot smart peopl organ constant reorg thenceo jenkin stir insecur among midmanag encourag infight backstab,there are lot of smart peopl in the organ constant reorg under thenceo jenkin stir up insecur among midmanag and encourag infight and backstab,lot smart people organization constant reorg thenceo jenkins stir insecurity among midmanagement encourage infights backstabbing,there be lot of smart people in the organization constant reorg under thenceo jenkins stir up insecurity among midmanagement and encourage infights and backstabbing,NEUTRAL
428,Global presence. Long noteworthy history. Pointless reorganization. Weak leadership. Low morale.,global presenc long noteworthi histori pointless reorgan weak leadership low moral,global presenc long noteworthi histori pointless reorgan weak leadership low moral,global presence long noteworthy history pointless reorganization weak leadership low morale,global presence long noteworthy history pointless reorganization weak leadership low morale,NEUTRAL
429,I loved working in Barclays. I think it is a great company to work for.,love work barclay think great compani work,I love work in barclay I think it is a great compani to work for,love work barclays think great company work,i love work in barclays i think it be a great company to work for,POSITIVE
430,great networking and good working environment,great network good work environ,great network and good work environ,great network good work environment,great network and good work environment,POSITIVE
431,talented employees and good history in many businesses challenging business backdrop for the industry and many leadership changes.,talent employe good histori mani busi challeng busi backdrop industri mani leadership chang,talent employe and good histori in mani busi challeng busi backdrop for the industri and mani leadership chang,talented employee good history many business challenge business backdrop industry many leadership change,talented employee and good history in many business challenge business backdrop for the industry and many leadership change,NEUTRAL
432,"Great people\, flexible work life balance",great peopl flexibl work life balanc,great peopl flexibl work life balanc,great people flexible work life balance,great people flexible work life balance,POSITIVE
433,"Good work / life balance\, decent salary Bad Management\, fully broken processes",good work life balanc decent salari bad manag fulli broken process,good work life balanc decent salari bad manag fulli broken process,good work life balance decent salary bad management fully break process,good work life balance decent salary bad management fully break process,NEUTRAL
434,"Global mindset\, Innovation\, smart people\, Can-do attitude Red tape\, slow decision process\, Brexit \, politics\, poor communication of strategy",global mindset innov smart peopl cando attitud red tape slow decis process brexit polit poor commun strategi,global mindset innov smart peopl cando attitud red tape slow decis process brexit polit poor commun of strategi,global mindset innovation smart people cando attitude red tape slow decision process brexit politics poor communication strategy,global mindset innovation smart people cando attitude red tape slow decision process brexit politics poor communication of strategy,NEUTRAL
435,High standards across the firm & friendly colleagues,high standard across firm friendli colleagu,high standard across the firm friendli colleagu,high standard across firm friendly colleague,high standard across the firm friendly colleague,POSITIVE
436,"Poor senior mentor ship\, extremely political\, people of color absolutely treated differently",poor senior mentor ship extrem polit peopl color absolut treat differ,poor senior mentor ship extrem polit peopl of color absolut treat differ,poor senior mentor ship extremely political people color absolutely treat differently,poor senior mentor ship extremely political people of color absolutely treat differently,NEGATIVE
437,"Great experience with meeting future co-workers\,trainers and management team.",great experi meet futur cowork trainer manag team,great experi with meet futur cowork trainer and manag team,great experience meet future coworkers trainer management team,great experience with meet future coworkers trainer and management team,POSITIVE
438,"Collaborative\, professional\, results oriented\, lots of legacy Lehmanites",collabor profession result orient lot legaci lehmanit,collabor profession result orient lot of legaci lehmanit,collaborative professional result orient lot legacy lehmanites,collaborative professional result orient lot of legacy lehmanites,POSITIVE
439,"Fast paced\, surrounded by smart people.",fast pace surround smart peopl,fast pace surround by smart peopl,fast pace surround smart people,fast pace surround by smart people,POSITIVE
440,"Great work culture and team No Bonus\, work pressure is increasing",great work cultur team bonu work pressur increas,great work cultur and team No bonu work pressur is increas,great work culture team bonus work pressure increase,great work culture and team no bonus work pressure be increase,NEUTRAL
441,"Make your own schedule\, the vacation time Management Sucks if you are a high performer they start targeting you and micro managing they find every thing in the sun to take your bonus the day before you get it and a lot of favoritism",make schedul vacat time manag suck high perform start target micro manag find everi thing sun take bonu day get lot favorit,make your own schedul the vacat time manag suck if you are a high perform they start target you and micro manag they find everi thing in the sun to take your bonu the day befor you get it and a lot of favorit,make schedule vacation time management suck high performer start target micro manage find every thing sun take bonus day get lot favoritism,make your own schedule the vacation time management suck if you be a high performer they start target you and micro manage they find every thing in the sun to take your bonus the day before you get it and a lot of favoritism,NEUTRAL
442,"If you are in good team\, it is really good opportunity to learn and manager will push to promote you.",good team realli good opportun learn manag will push promot,If you are in good team it is realli good opportun to learn and manag will push to promot you,good team really good opportunity learn manager will push promote,if you be in good team it be really good opportunity to learn and manager will push to promote you,POSITIVE
443,Some of the supervisors/leads are unapproachable,supervisorslead unapproach,some of the supervisorslead are unapproach,supervisorsleads unapproachable,some of the supervisorsleads be unapproachable,NEGATIVE
444,"Culture\, values\, pay\, teamwork and office space",cultur valu pay teamwork offic space,cultur valu pay teamwork and offic space,culture value pay teamwork office space,culture value pay teamwork and office space,POSITIVE
445,Barclays is a great place to work. The people have made my experience.,barclay great place work peopl made experi,barclay is a great place to work the peopl have made my experi,barclays great place work people make experience,barclays be a great place to work the people have make my experience,POSITIVE
446,"Bonus structure\, night shift differential",bonu structur night shift differenti,bonu structur night shift differenti,bonus structure night shift differential,bonus structure night shift differential,POSITIVE
447,A reputable and competitive organization in its industry low recognition for employee personal growth unless you have managed to enter into their graduate trainee programmes,reput competit organ industri low recognit employe person growth unless manag enter graduat traine programm,A reput and competit organ in it industri low recognit for employe person growth unless you have manag to enter into their graduat traine programm,reputable competitive organization industry low recognition employee personal growth unless manage enter graduate trainee program,a reputable and competitive organization in it industry low recognition for employee personal growth unless you have manage to enter into their graduate trainee program,NEUTRAL
448,"Down-to-earth culture\, commitment to quality work\, focus on what's important Low morale at the time after previous CEO resignation\, experience highly dependent on the team",downtoearth cultur commit qualiti work focu import low moral time previou ceo resign experi highli depend team,downtoearth cultur commit to qualiti work focu on what s import low moral at the time after previou ceo resign experi highli depend on the team,downtoearth culture commitment quality work focus important low morale time previous ceo resignation experience highly dependent team,downtoearth culture commitment to quality work focus on what s important low morale at the time after previous ceo resignation experience highly dependent on the team,NEUTRAL
449,Constant downsizing and insecurity about the job.,constant downsiz insecur job,constant downsiz and insecur about the job,constant downsize insecurity job,constant downsize and insecurity about the job,NEGATIVE
